Id,URL
1315,"https://github.com/deeplearning4j/dl4j-examples/commit/4a495724"
1316,"https://github.com/oracle/graal/commit/ffd0bf4db1b"
1333,"https://github.com/UniversalMediaServer/UniversalMediaServer/commit/f7a5ac4ac"
1351,"https://github.com/ata4/disunity/commit/00a0cb5"
1355,"https://github.com/apache/tomcat/commit/402e4f9a0"
1375,"https://github.com/BuildCraft/BuildCraft/commit/4279fdb31"
1378,"https://github.com/kite-sdk/kite/commit/1928f544a"
1397,"https://github.com/wordpress-mobile/WordPress-Android/commit/1335256bf4"
1413,"https://github.com/wikimedia/apps-android-wikipedia/commit/1753df8f4"
1420,"https://github.com/typetools/checker-framework/commit/e370fbb6a"
1424,"https://github.com/TEAMMATES/teammates/commit/a034a4292"
1435,"https://github.com/TEAMMATES/teammates/commit/2edd4beea"
1437,"https://github.com/blazegraph/database/commit/ba62a3c8a"
1445,"https://github.com/j256/ormlite-core/commit/7635c3eb"
1449,"https://github.com/openmrs/openmrs-core/commit/d2f82a4f0"
1454,"https://github.com/opentripplanner/OpenTripPlanner/commit/41ae6ce2e"
1512,"https://github.com/gchq/Gaffer/commit/98091eedc1"
1515,"https://github.com/gerrit-review/gerrit/commit/acefc3d425"
1521,"https://github.com/processing/processing/commit/5ad8de77e"
1523,"https://github.com/alkacon/opencms-core/commit/fce8fc8166"
1529,"https://github.com/wro4j/wro4j/commit/cd01c623d"
1535,"https://github.com/couchbase/couchbase-lite-android/commit/a5911fc4"
1539,"https://github.com/phishman3579/java-algorithms-implementation/commit/3b6b566"
1543,"https://github.com/apache/parquet-mr/commit/60c65126"
1546,"https://github.com/opennetworkinglab/onos/commit/f6d1676103"
1563,"https://github.com/nayuki/Project-Euler-solutions/commit/4f718f1"
1566,"https://github.com/sleuthkit/autopsy/commit/60f82ae28"
1573,"https://github.com/hazelcast/hazelcast/commit/ed0eda49bf"
1583,"https://github.com/BroadleafCommerce/BroadleafCommerce/commit/efb4b9ac15"
1586,"https://github.com/alkacon/opencms-core/commit/7a51322be7"
1591,"https://github.com/Azure/azure-sdk-for-java/commit/dc80e242b1"
1592,"https://github.com/mybatis/spring/commit/fa3aac37"
1593,"https://github.com/elki-project/elki/commit/c7519ab97"
1603,"https://github.com/findbugsproject/findbugs/commit/f2d2d3a00"
1608,"https://github.com/unofficial-openjdk/openjdk/commit/b598f806aed"
1616,"https://github.com/apache/apex-core/commit/d556d8e2a"
1630,"https://github.com/Alluxio/alluxio/commit/63faec6f2e"
1634,"https://github.com/kiegroup/jbpm/commit/70cee7338"
1647,"https://github.com/sleuthkit/autopsy/commit/0f0dd4462"
1652,"https://github.com/apache/apex-core/commit/1bda2bfc8"
1653,"https://github.com/BroadleafCommerce/BroadleafCommerce/commit/98e454188c"
1701,"https://github.com/antlr/antlr4/commit/343d0f90b"
1716,"https://github.com/jitsi/libjitsi/commit/c98324fe"
1724,"https://github.com/apereo/cas/commit/6f32be744a8"
1730,"https://github.com/aosp-mirror/platform_frameworks_base/commit/b2920572828"
1732,"https://github.com/imagej/imagej/commit/e0b9a586a"
1750,"https://github.com/apache/incubator-gobblin/commit/726acca0d"
1775,"https://github.com/neo4j/neo4j/commit/83fe85833a4"
1776,"https://github.com/freenet/fred/commit/0bfb5eba6"
1777,"https://github.com/i2p/i2p.i2p/commit/c93ccd15e"
1778,"https://github.com/intuit/wasabi/commit/0553db03"
1797,"https://github.com/openpnp/openpnp/commit/807c011bc3"
1812,"https://github.com/rstudio/rstudio/commit/0aad9339b9"
1821,"https://github.com/xwiki/xwiki-platform/commit/f35d81cd7c"
1856,"https://github.com/lucee/Lucee/commit/b84c88f8"
1915,"https://github.com/javaee/glassfish/commit/7902aeb3f2"
1925,"https://github.com/nayuki/QR-Code-generator/commit/4c88263"
1935,"https://github.com/nextcloud/android/commit/a22288275"
1971,"https://github.com/BaseXdb/basex/commit/fc9935567"
1972,"https://github.com/apache/camel/commit/ae47914a4d7"
1983,"https://github.com/plutext/docx4j/commit/9b692a62"
2004,"https://github.com/realm/realm-java/commit/4a65304ab"
2006,"https://github.com/apache/wicket/commit/327f911728"
2043,"https://github.com/gchq/Gaffer/commit/0ee0388a9b"
2062,"https://github.com/findbugsproject/findbugs/commit/906b4d22c"
2065,"https://github.com/voldemort/voldemort/commit/9bc915912"
2112,"https://github.com/brianwernick/ExoMedia/commit/1a50253"
2117,"https://github.com/Alluxio/alluxio/commit/e412eb51bc"
2132,"https://github.com/alkacon/opencms-core/commit/229365ff70"
2136,"https://github.com/DataSketches/sketches-core/commit/352eb280"
2137,"https://github.com/meganz/android/commit/6cbdfc79c"
2139,"https://github.com/neo4j/neo4j/commit/3a86b410f0d"
2142,"https://github.com/consulo/consulo/commit/0e788da9ab2"
2144,"https://github.com/jitsi/jitsi/commit/4dbf5cd1f"
2167,"https://github.com/naver/yobi/commit/6e669fec"
2184,"https://github.com/opentripplanner/OpenTripPlanner/commit/9233dbfa4"
2194,"https://github.com/sleuthkit/autopsy/commit/a82c68d15"
2196,"https://github.com/apache/jena/commit/2f6d68b631"
2199,"https://github.com/i2p/i2p.i2p/commit/6670209cb"
2204,"https://github.com/aosp-mirror/platform_frameworks_base/commit/5aa95dd36cd"
2213,"https://github.com/javaee/glassfish/commit/3a74a2f2a6"
2248,"https://github.com/freenet/fred/commit/65e0dfb70"
2266,"https://github.com/Sable/soot/commit/ef666f005"
2270,"https://github.com/spring-projects/spring-data-solr/commit/f7d5f83"
2275,"https://github.com/bitcoinj/bitcoinj/commit/e91cc443"
2281,"https://github.com/intuit/wasabi/commit/b0162238"
2283,"https://github.com/apache/incubator-heron/commit/4c924a0f6"
2313,"https://github.com/sleuthkit/autopsy/commit/53375b6cb"
2317,"https://github.com/google/j2objc/commit/e217ae371"
2319,"https://github.com/apereo/cas/commit/bb9dbae84c1"
2350,"https://github.com/apache/incubator-gobblin/commit/16e4c17a9"
2361,"https://github.com/nayuki/QR-Code-generator/commit/12360be"
2382,"https://github.com/SonarSource/sonarqube/commit/63eb4c886e"
2383,"https://github.com/apache/jmeter/commit/8b581e707"
2391,"https://github.com/opentripplanner/OpenTripPlanner/commit/d50b2e668"
2410,"https://github.com/sakaiproject/sakai/commit/d53fa0c49c"
2412,"https://github.com/Alluxio/alluxio/commit/9c9aed0de9"
2418,"https://github.com/Alluxio/alluxio/commit/0f9360820e"
2425,"https://github.com/essentials/Essentials/commit/2c52ed361"
2444,"https://github.com/TEAMMATES/teammates/commit/e08e7eb48"
2445,"https://github.com/IQSS/dataverse/commit/b8a484864"
2448,"https://github.com/hibernate/hibernate-orm/commit/cf921df1d0"
2461,"https://github.com/apache/incubator-skywalking/commit/1edbb81ed"
2465,"https://github.com/google/data-transfer-project/commit/1b365348"
2469,"https://github.com/ata4/disunity/commit/b390382"
2474,"https://github.com/carrot2/carrot2/commit/c9e669077"
2482,"https://github.com/typetools/checker-framework/commit/84e2056cb"
2483,"https://github.com/hibernate/hibernate-orm/commit/838e71a0ee"
2484,"https://github.com/watson-developer-cloud/java-sdk/commit/b46fabe9dc"
2485,"https://github.com/vespa-engine/vespa/commit/78d7037469"
2492,"https://github.com/carymrobbins/intellij-haskforce/commit/25ee81d5"
2511,"https://github.com/AndlyticsProject/andlytics/commit/824b1ab"
2518,"https://github.com/neo4j/neo4j/commit/dd2abbf5824"
2535,"https://github.com/apache/ofbiz/commit/b01bd72574"
2554,"https://github.com/jclouds/jclouds/commit/bc2182ddcf"
2555,"https://github.com/jmrozanec/cron-utils/commit/8e1fc51"
2596,"https://github.com/VoltDB/voltdb/commit/963f93002b"
2606,"https://github.com/freenet/fred/commit/5b0219c61"
2626,"https://github.com/apache/tomcat/commit/7e6a1abc5"
2627,"https://github.com/CyanogenMod/android_frameworks_base/commit/2aa2bc531b0"
2640,"https://github.com/restlet/restlet-framework-java/commit/9fce4b018"
